timer_conf_LW_vec,timer_conf_FD_vec
6.89e-6,9.001e-6
1.1321e-5,4.581000000000001e-6
7.72e-6,4.69e-6
4.58e-6,4.58e-6
5.36e-6,4.25e-6
5.500000000000001e-6,4.2900000000000004e-6
5.4e-6,4.2900000000000004e-6
5.420000000000001e-6,4.270000000000001e-6
5.49e-6,4.23e-6
6.07e-6,4.23e-6
4.4600000000000005e-6,4.78e-6
6.53e-6,4.25e-6
5.860000000000001e-6,4.3700000000000005e-6
5.6100000000000005e-6,4.58e-6
5.410000000000001e-6,4.22e-6
5.65e-6,4.551e-6
5.410000000000001e-6,4.24e-6
4.4600000000000005e-6,4.84e-6
6.07e-6,4.2900000000000004e-6
5.1700000000000005e-6,4.4e-6
5.38e-6,4.26e-6
5.8800000000000005e-6,4.61e-6
5.63e-6,4.2800000000000005e-6
5.420000000000001e-6,4.25e-6
4.61e-6,4.540000000000001e-6
6.210000000000001e-6,4.41e-6
5.420000000000001e-6,4.5500000000000005e-6
5.71e-6,4.2000000000000004e-6
5.410000000000001e-6,4.671000000000001e-6
5.500000000000001e-6,4.25e-6
6.42e-6,4.561e-6
5.45e-6,4.49e-6
6.34e-6,4.23e-6
5.3e-6,4.2900000000000004e-6
5.63e-6,4.22e-6
5.64e-6,4.23e-6
4.56e-6,4.23e-6
5.561000000000001e-6,4.1900000000000005e-6
5.5710000000000005e-6,4.66e-6
6.27e-6,4.25e-6
5.46e-6,4.34e-6
6.2300000000000005e-6,4.56e-6
5.3500000000000004e-6,4.26e-6
4.58e-6,4.77e-6
1.5501e-5,4.26e-6
5.71e-6,4.5e-6
6.5000000000000004e-6,4.33e-6
5.57e-6,4.270000000000001e-6
5.47e-6,4.25e-6
5.4400000000000004e-6,4.360000000000001e-6
4.52e-6,4.31e-6
6.43e-6,4.24e-6
5.7000000000000005e-6,4.5500000000000005e-6
6.18e-6,4.31e-6
5.54e-6,4.270000000000001e-6
5.420000000000001e-6,4.23e-6
4.59e-6,4.32e-6
4.59e-6,4.26e-6
6.470000000000001e-6,4.31e-6
5.54e-6,4.51e-6
7.16e-6,4.530000000000001e-6
5.410000000000001e-6,4.23e-6
6.1400000000000005e-6,4.23e-6
4.6300000000000006e-6,4.33e-6
4.74e-6,4.270000000000001e-6
6.750000000000001e-6,4.21e-6
5.64e-6,4.521e-6
6.981000000000001e-6,4.33e-6
5.53e-6,4.34e-6
6.030000000000001e-6,4.9000000000000005e-6
4.6e-6,4.2510000000000005e-6
5.64e-6,4.51e-6
6.151e-6,4.360000000000001e-6
5.66e-6,4.440000000000001e-6
7.080000000000001e-6,4.26e-6
5.760000000000001e-6,4.48e-6
4.6e-6,4.49e-6
4.61e-6,4.270000000000001e-6
6.7e-6,4.231000000000001e-6
6.820000000000001e-6,4.22e-6
1.4530000000000001e-5,4.641e-6
6.390000000000001e-6,4.22e-6
5.961e-6,4.761000000000001e-6
5.36e-6,4.22e-6
4.6e-6,4.710000000000001e-6
5.64e-6,4.31e-6
6.17e-6,4.33e-6
5.590000000000001e-6,4.491e-6
6.42e-6,4.24e-6
5.72e-6,4.33e-6
4.540000000000001e-6,4.22e-6
5.641000000000001e-6,4.22e-6
5.46e-6,4.25e-6
6.3100000000000006e-6,4.33e-6
5.98e-6,4.6e-6
6.750000000000001e-6,4.6300000000000006e-6
4.58e-6,4.21e-6
4.56e-6,4.970000000000001e-6
5.54e-6,4.24e-6
5.601e-6,4.76e-6
5.890590000000003e-6,4.436009999999997e-6
